,name,id,cv_gt,cv_gk,cv_tk,cv_gtk,tv_gt,tv_gk,tv_tk,tv_gtk,cv_gtkn,cv_gtky,cv_gtkd
299,Amerzone: The Explorer's Legacy,11091,0,0,0,0,0,0,0,0,0,0,0
300,Mir Korabley,243611,0,2,2,1,0,2,2,1,1,1,1
301,Aliens: Dark Descent,204354,0,0,1,0,0,0,1,0,0,0,0
302,Timore 5,31517,0,0,0,0,0,0,0,0,0,0,0
303,Bridge Constructor: Stunts,26664,0,0,0,0,0,0,0,1,0,0,0
304,Fish Tycoon,29117,0,0,0,0,0,0,0,0,0,0,0
305,Battlefleet Gothic: Armada 2,83844,0,0,0,0,0,0,0,0,0,0,0
306,Gunmetal Arcadia,36176,0,0,1,1,0,0,1,0,1,1,1
307,When They Arrived,102324,0,0,0,0,0,0,0,0,0,0,0
308,Storyteller,159299,0,0,0,0,0,0,0,0,0,0,0
309,Gems of War,9531,0,0,2,2,0,1,2,1,2,2,2
310,Split of Knight,75834,0,0,0,0,0,0,0,0,0,0,0
311,Tropical Girls VR,31152,0,0,0,0,0,0,0,1,0,0,0
312,Let's Sing,10511,1,0,0,0,1,0,0,0,0,0,0
313,Fears to Fathom: Home Alone,171390,1,0,0,1,1,0,0,1,1,1,1
314,TIS-100,22726,0,0,0,0,0,0,0,0,0,0,0
315,Paradox Vector,116943,0,0,0,0,0,0,0,0,0,0,0
316,Carnivores: Dinosaur Hunter Reborn,17236,0,0,0,1,0,0,0,1,1,1,1
317,EVE: Valkyrie,9267,0,1,1,1,0,1,1,1,1,1,1
318,DragonFable,92725,0,0,0,0,0,0,0,0,0,0,0
319,Ultimate Custom Night,103629,0,0,0,0,0,0,0,0,0,0,0
320,Portal 2,72,0,0,0,0,0,0,0,0,0,0,0
321,Gomo,7552,0,0,0,0,0,0,0,0,0,0,0
322,Neverwinter Nights 2: Mysteries of Westgate,14556,0,0,1,0,0,0,1,0,0,0,0
323,Bladestar,33964,0,0,0,1,0,0,0,0,1,1,1
324,Nuts!: Battle of the Bulge,33809,0,0,0,0,0,0,0,0,0,0,0
325,Cross Set,34114,0,0,0,0,0,0,0,0,0,0,0
326,Cossacks II: Napoleonic Wars,305,0,0,0,0,0,0,0,0,0,0,0
327,Geometry Wars: Retro Evolved,15756,0,0,0,0,0,0,0,0,0,0,0
328,Batman: The Enemy Within,51525,0,0,0,0,0,1,0,1,0,0,0
329,UFO: Extraterrestrials - Gold Edition,29204,0,0,0,1,0,0,0,0,1,1,1
330,Nadia Was Here,28491,0,0,1,0,0,0,1,0,0,0,0
331,AppleSnake,51989,0,0,0,0,0,0,0,0,0,0,0
332,Fortnite Festival,279764,0,0,0,1,1,0,0,1,1,1,1
333,A Wild Catgirl Appears!,33854,0,0,0,0,0,0,0,0,0,0,0
334,Never Again,53930,0,1,0,1,0,1,0,0,1,1,1
335,Puzzle Ball,34460,0,0,0,0,0,0,0,0,0,0,0
336,Ohota Krepkoe,43102,0,0,0,0,0,0,0,0,0,0,0
337,Draft Day Sports: Pro Basketball 2018,75713,0,0,0,0,0,0,0,0,0,0,0
338,Touhou Youyoumu: Perfect Cherry Blossom,27166,3,4,4,4,3,4,4,4,4,4,4
339,VR Escape the space station,31782,0,0,0,0,0,0,0,0,0,0,0
340,Anno 1404,662,0,3,2,3,0,3,2,2,3,3,3
341,Alphabear: Hardcover Edition,52053,0,0,0,0,0,0,0,0,0,0,0
342,Tidalis,10991,0,0,0,0,0,0,0,0,0,0,0
343,Inversus,19608,0,1,1,1,0,1,1,1,0,1,1
344,Help Will Come Tomorrow,121989,0,0,1,0,0,0,1,1,0,0,0
345,Space Empires IV Deluxe,19350,1,0,2,2,1,0,2,2,3,3,3
346,Vancouver 2010,2709,0,0,0,0,0,0,0,0,0,0,0
347,Project Nimbus,10724,0,0,0,0,0,0,0,0,0,0,0
348,Hexoscope,24033,0,0,0,0,0,0,0,0,0,0,0
349,World of Cubes Survival Craft Multiplayer,89066,0,0,0,1,0,0,0,1,1,1,1
350,Scorch,30137,0,0,0,0,0,0,0,0,0,0,0
351,Kitten Life Simulator,97496,0,0,0,0,0,0,0,0,0,0,0
352,Abyss Raiders: Uncharted,35788,0,0,1,0,0,0,1,0,0,0,0
353,Schrödinger's Cat and the Raiders of the Lost Quark,10815,0,0,0,0,0,0,0,0,0,0,0
354,Serious Sam VR: The Second Encounter,91116,0,0,0,0,0,0,0,0,0,0,0
355,SharpShooter3D,103189,0,0,0,0,0,0,0,0,0,0,0
356,SweatShop,32204,0,0,0,0,0,0,0,0,0,0,0
357,Phantasy Star IV: The End of the Millennium,1230,1,1,1,1,1,0,1,0,1,1,1
